Table Size,Hit Count No Hash, Miss Count No Hash, Hit Count Hash, Miss Count Hash
1,1,0,1,0
2,2,1,2,0
3,3,3,3,0
4,4,6,4,0
5,5,10,5,0
6,6,15,6,0
7,7,21,7,0
8,8,28,8,0
9,9,36,9,0
10,10,45,10,0
